
Name                                                                            Value
Microsoft.CPlat.Core.OtherNullWindows                                           4.0.2
Microsoft.CPlat.Core.RunCommandHandlerLinux                                     1.3.18
Microsoft.CPlat.Core.RunCommandHandlerWindows                                   2.0.19
Microsoft.CPlat.Core.RunCommandLinux                                            1.0.9
Microsoft.CPlat.Core.RunCommandWindows                                          1.1.22
Microsoft.CPlat.Core.VMApplicationManagerLinux                                  1.0.16
Microsoft.CPlat.Core.VMApplicationManagerWindows                                1.0.16
Microsoft.CPlat.Core.WindowsHibernateExtension                                  1.0.3
Microsoft.CPlat.Core.WindowsPatchExtension                                      1.5.80
Microsoft.CPlat.ProxyAgent.ProxyAgentLinux                                      1.0.39
Microsoft.CPlat.ProxyAgent.ProxyAgentLinuxTest                                  1.0.39
Microsoft.CPlat.ProxyAgent.ProxyAgentWindows                                    1.0.39
Microsoft.CPlat.ProxyAgent.ProxyAgentWindowsTest                                1.0.39
Microsoft.EnterpriseCloud.Monitoring.MicrosoftMonitoringAgent                   1.0.18076.0
Microsoft.EnterpriseCloud.Monitoring.OmsAgentForLinux                           1.19.0
